"NAME";"BARCODE";"IMAGEPATH";"NEWINGREDIENT"
"Arla let mælk";"5700426101217";"ff783930-d939-4100-a75d-de2fc7092112.jpg";1
"Bernaise essens";"5701018146159";"ba6634b8-40f1-4a41-898a-2b045fb780ad.jpg";1
"Brunchy bacon";"5900244023849";"9eb35368-153e-443d-8a80-ecc0baef0183.jpg";1
"Cabonara snack pot";"8714100370902";"2bc8598e-5eed-416f-9046-a1e1f7d1dbd5.jpg";1
"Cayennepeber";"5765228713181";"d7cf7aae-c400-402f-b9d7-325c4f99cb9a.jpg";1
"Chocolate treasures";"5774540995403";"4c27dea0-16aa-4b6b-bfce-bb4e07a7c8e5.jpg";1
"D";"";"8ca6ca28-4b6e-4b5b-871e-96d389c2b279.jpg";1
"Faxe kondi 33cl";"5741000109151";"8b41298d-1872-44e3-ab1b-07e2eed13ff3.jpg";1
"Gudrun mellemlagret skiveskåret";"5701012920199";"980722dc-3097-4431-8c52-bdafa81b56c1.jpg";1
"Gulerod & tomatsuppe";"5710328002932";"3366297c-bdcf-4e61-948e-1f2cb0134c59.jpg";1
"Jimi hendrix";"";"6d047288-c106-4fb6-b2ea-eb918235e3b7.jpg";1
"Joacim";"";"de2bfba9-7664-4396-acca-ac2826a5b956.jpg";1
"Klementin";"";"c1598a4b-e334-4324-8fd2-44736d002764.jpg";1
"Klementiner";"5701012906841";"b436cdcd-a298-4a4d-b5f1-d413fe98d6ca.jpg";1
"Lurpak smør";"5700426105543";"16154d70-b9ef-48d2-8c23-89cc39b7b387.jpg";1
"Pasta snack pot";"8714100683064";"3bea19e5-a67f-4b72-91bb-ea550c59e096.jpg";1
"Salat mayonnaise";"7622300095215";"e337dd11-9293-4a86-827e-a0e9dcba97f3.jpg";1
"Samsung";"";"a309d37a-5b3c-41df-aca8-f6d038a0178b.jpg";1
"Sandwich skinke";"0292182500007";"e566463a-12f2-4db7-ae37-b9641b8ac530.jpg";1
"Skr";"";"ca76eb3a-eab8-42f7-8927-07b155150a7f.jpg";1
"Skruetrækker";"";"aafeb3c5-3086-434b-8103-099d1814b9e4.jpg";1
"Skuresvampe";"7340011472902";"6de286ab-18a6-4236-b23b-d55070c989f5.jpg";1
"Svamp";"";"3eca990e-8b08-4025-b8ff-9643fc2f2b9a.jpg";1
"Svansø oliven olie";"5701439016468";"e1f17396-aac6-4f61-a9e3-84fba94a330e.jpg";1
"T";"";"f92e8533-d765-4580-9da5-54188ab953ba.jpg";1
"Tropisk frugtdrik";"5705001408767";"f28441ff-aff1-4bcf-bdc3-0b6505240023.jpg";1
"Urtekram mediumstærk karry";"5765228742365";"94eb7ffd-5f61-4e4d-aff3-bf4c364a0007.jpg";1
"Øgo økologiske løg";"5701012490128";"8a8a9bab-0a0e-4c99-a31a-f81b108d6573.jpg";1
"Øko hakkede tomater";"25043389";"a392bbed-0e82-44d3-8a73-efa0293ee04b.jpg";1
"Økologisk hvedemel";"7340011314974";"afc7e397-a448-4b49-af08-0bae06dd519d.jpg";1
